Question,Answer
Can we define Inventory Tax Settings?,"➽ Yes, we can define Inventory Tax Settings by following the below path. PATH : Inventory 🡆Item Details 🡆Create Items 🡆Inventory Tax Master."
How to Create Quotation or Add Request for Quotation?,"To create Quotation or add request for Quotation, follow the steps given below: Step 1: Select the Inventory module and then select the Request for Quotation under the Stock Management menu. (Inventory-->Stock Management-->Request for Quotation) Step 2: Select +Add Request for Quotation option. Select the store, Category, Sub Category, Classification, Item Name, Required Quantity and click on Save."
How to Run Staff Attendance?,"You can update/ run the biometric attendance of staff for a branch by following the details below. HR ---> Biometric Attendance ---> Daily Biometric Attendance Report ---> Select the Branch, Department & Date ---> Click on Show report ---> Click on Biometric Attendance Log ---> Click on Update/ Run against a Branch. Note: Reasons for Missed Staff 1) Due to Invalid Staff biometric code. 2) Staff Shift and Session Details are not available. 3) Due to Invalid Device Logs Date format. 4) Staff may be In Active."
How to create or add Vendor in inventory?,"To create or add vendor in inventory, follow the steps given: Step 1: Select the Inventory module and then select the Vendor Creation under the Vendors and Contracts menu. (Inventory-->Vendors and Contracts-->Vendor Creation) Step 2: Select Add Vendor Details option. Fill in the details like Vendor/Supplier, Contact Name, Business Details, Billing and Contact Address Details and Vendor Status then click on Save."
How to check the Profits of a Store?,"You can generate a report on the profits earned by a store in an AY by following the path outlined below. School Store ---> Reports ---> School Store Profit ---> Select AY, Store, Branch ---> Select Profit on Sold Items/ Overall Profit ---> Click on Get."
How can we check staff wise issued Inventory items?,"➽ Yes, we can check Staff wise issued items as well as we can check all staff issued items. ✨ To check staff wise issued items, follow the below given path. PATH : Inventory 🡆Item Details 🡆Inventory Issued items for Staff."
How to return the inventory item from the staff?,"➽ YES, we have the option to Return an item while the staff is inactive or if the item is damaged. ✨ If we want to return an item, Item must be Returnable should be YES. PATH : Inventory 🡆Item Details 🡆Issue Items. Against the item, click on Return to update the return entry"
How To Check Branch Stock report?,"➽ We can check the branch stock Report to understand each item and how much stock is available. Using this, we can understand how many items issued to staff, students, including damaged ones. PATH : Inventory 🡆Item Details 🡆Branch Stock Report."
How to check Cashier Report,Please follow the below path to check Cashier Report Path: Finance---> Collection Reports---> Fee Day Sheet---> Select Cashier Report
How to check FeeType Wise Ledger report?,Please follow the below path to check FeeType Wise Ledger report Path: Finance---> Collection Reports---> Fee Day Sheet---> Select FeeType Wise Ledger
How to check Fee DaysSheet payment month report,Please follow the below path to check Fee DaysSheet payment month report Path: Finance---> Collection Reports---> Fee Day Sheet---> Select Fee DaysSheet payment month
How to check Month Wise Fee Collection Trends report?,Please follow the below path to checkMonth Wise Fee Collection Trends report Path: Finance---> Collection Reports---> Fee collection Trends
How to check Online Payment Refund Report?,"Please follow the below path to check Online Payment Refund Report Path: Finance---> Collection Reports---> Online Payments---> Click on Online Payment Refund Report--> Select branch, Financial year, Payment Gateway, Online payment Merchant ID, Fee Accounts, Date Type---> Click on Show Report"
How to check Card type wise Report?,"Please follow the below path to check Card type wise Report Path: Finance---> Collection Reports---> Online Payments---> Click on Card type wise Report--> Select branch, Financial year, Payment Gateway, Online payment Merchant ID, Fee Accounts, Date Type---> Click on Show Report"
How to check Settlement Report?,"Please follow the below path to check Settlement Report Path: Finance---> Collection Reports---> Online Payments---> Click on Settlement Report--> Select branch, Financial year, Payment Gateway, Online payment Merchant ID, Collection Accounts, Report Type, Date Type, Select Radio Button Type Transaction date/Settlement date---> Click on Show Report"
How to check Online Payment Details?,"Please follow the below path to check Online Payment Details Path: Finance---> Collection Reports---> Online Payments-->Select branch, Financial Year, Fee Accounts, Date Type, Payment Gateway, Report Type, Device Type--> Click on Show Report"
How to Get Receipt Book Details?,"Please follow the below path to Get Receipt Book Details Path: Finance---> Collection Reports---> Receipt Book--> Select Type, Fee Types, Fee Accounts, Payment Mode, Academic Year, Date Range, Cancelled Receipt Logic, Select Show Report/ Download CSV---> Click on Get"
How to View Receipt Book(Feetype Wise) Report?,"Please follow the below path to View Receipt Book(Feetype Wise) Report Path: Finance---> Collection Reports---> Receipt Book--> Select Receipt Book(Feetype Wise)----> Select Type, Fee Types, Fee Accounts, Payment Mode, Academic Year, Date Range, Select Cancelled Receipt Logic As per Cancelled Date/ As per Receipt Date---> Click on Show Report Note: 1. Bounced cheque payments will be reflect as per bounce date. 2. Cancelled payments will be reflect as per selection of cancelled receipt logic"
How to Get Student Fee Receipts Date Wise Report?,"Please follow the below path to get Receipt Book(Feetype Wise) Report Path: Finance---> Collection Reports---> Receipt Book--> Select Student Fee Receipts Date Wise---> Select Branch, Date Ranges, Fee Account, Payment Modes--> Click on Get"
How to Get Receipt Book Fee Account Wise Report?,"Please follow the below path to get Receipt Book Fee Account Wise Report Path: Finance---> Collection Reports---> Receipt Book--> Select Receipt Book Fee Account Wise---> Select Fee Account, Branch, Date Ranges, Payment Modes, Payment Type---> Click on Show Report"
How to Get Consolidated Receipt Report?,"Please follow the below path to get Consolidated Receipt Report Path: Finance---> Collection Reports---> Receipt Book--> Select Consolidated Receipt Report---> Select Branch, Dates---> Click on Show Report"
How can we Download Bulk Receipts?,"Please follow the below path to Download Bulk Receipts Path: Finance---> Collection Reports---> Receipt Book--> Select Bulk Receipts Download ---> Select Academic Year, Branch, Fee Accounts, Type, Payment Modes, Download Type---> Click on Bulk Download"
How to get Receipt Book With GST?,"Please follow the below path to get Receipt Book With GST Path: Finance---> Collection Reports---> Receipt Book--> Select Receipt Book With GST ---> Select Type, Fee Types, Fee Accounts, Payment mode, Academic Year, Date ranges, Cancelled Receipt Logic, Select Show Report/Download CSV---> Click on Get"
How to View Individual Fee Headwise Details?,"Please follow the below path to view Individual Fee Headwise Details Path: Finance-->Collection Reports--->Fee head wise student list--> Select Branch, Class, Section, Fee Types, Status---> Click on Show Report"
How to View Assigned Fee Headwise Details?,"Please follow the below path to view Assigned Fee Headwise Details Path: Finance-->Collection Reports--->Fee head wise student list--> Click on Assigned Fee Headwise---> Select Branch, Classes, Fee Types, Status---> Click on Show Report"
How to view Dishonoured Cheques,"Please follow the below path to view Dishonoured Cheques Path: Finance-->Collection Reports---> Dishonoured Cheques--> Select Branch, Receiving ABnk accounts, Type, Date Ranges, Cheque Status---> Click on Get"
How to view Month Wise Collections Report?,Please follow the below path to view Month Wise Collections report Path: Finance---> Collection Reports---> Month wise fee reports---> Select Collection Reports--->Click on Month Wise Collections
How to view Payment mode Wise Collections Report?,Please follow the below path to view Payment mode Wise Collections Report Path: Finance---> Collection Reports---> Month wise fee reports---> Select Collection Reports--->Click on Payment mode Wise Collections
How to view Consolidated  Month Wise Due Report?,"Please follow the below path to view Consolidated Month Wise Due Report Path: Finance---> Collection Reports---> Month wise fee reports---> Select Due Reports--->Click on Month Wise Due Report Consolidated ----> Select Location, Branch, Academic Month, Fee Types, Select Radio Button Active students/Inactive Students/Both---> Click on Show Report"
How to Get Month Wise Due Report?,"Please follow the below path to Get Month Wise Due Report Path: Finance---> Collection Reports---> Month wise fee reports---> Select Due Reports--->Click on Month Wise Due Report ----> Select Branch, Class, Fee types, Fee Accounts, Academic Month, Month wise, Status, Late Fees, Report Type, Type---> Click on Get Report"
How to get Class wise Student Fee OutStanding Report?,"Please follow the below path to get Class wise Student Fee OutStanding Path: Finance---> Collection Reports---> Month wise fee reports---> Select Due Reports--->Click on Class wise Student Fee OutStanding ----> Select Class, Fee Types, Academic Month, Status, Report Type---> Click on Get Report"
How to get Cheque Statement Report?,"Please follow the below path to get Cheque Statement Report Path: Finance---> Collection Reports---> Cheque Statement---> Select Branch, Receiving Bank Accounts, Date Type, Date Ranges, Type---> Click on Show Report"
How to get DD Statement Report?,"Please follow the below path to get DD Statement Report Path: Finance---> Collection Reports---> Cheque Statement---> Click on DD Statement---> Select Branch, Fee Accounts, Date Type, Date Ranges, Bank---> Show Report"
How to View Advance Fee Paid Report?,"Please follow the below path to view Advance Fee Paid Report Path: Finance---> Collection Reports---> Advance Fee Paid Report---> Select Academic Year, Branch, Report Type, Report View--> Click on Show Report"
How to View Fee Balance Report?,Please follow the below path to view Fee Balance Report Path: Finance---> Collection Reports---> Fee Balance Details
How to View Percentage Base Fee Balance Report?,Please follow the below path to view Percentage Base Fee Balance Report Path: Finance---> Collection Reports---> Fee Balance Details---> Click on Percentage Base Fee Balance Report---> Select the required details--> Click on Show Report
How to View Fee Transaction Summary Report?,Please follow the below path to view Fee Transaction Summary Report Path: Finance---> Collection Reports---> Fee Transaction Summary
How to View Fee Receipt Ledger  Report?,Please follow the below path to view Fee Receipt Ledger Report Path: Finance---> Collection Reports---> Fee Ledger Report---> Select the required details---> Click on show Report
How to get Fee Deposits Register Report?,"Please follow the below path to get Fee Deposits Register report Path: Finance---> Collection Reports---> Fee Deposits Register---> Select Branch, Fee type(Deposit), Admission AY, Student status---> Click on Get"
How to get Student Wise Fee Payments Report?,Please follow the below path to get Student Wise Fee Payments report Path: Finance---> Collection Reports---> Student Wise Fee Payments(Academic Year)
How to get Misc Fee Collection Details Report?,Please follow the below path to get Misc Fee Collection Det Report Path: Finance---> Collection Reports---> Misc Fee Collection Details
How to get Branch Fee Collection Report?,Please follow the below path to get Branch Fee Collection Report Path: Finance---> Collection Reports---> Other Fee Collection Details
How to get Fee Payment Report?,Please follow the below path to get Fee Payment Report Path: Finance---> Collection Reports---> Fee Payments
How to View Total Paid and Due Report?,"Please follow the below path to View Total Paid and Due Report Path: Branch level--> Finance---> Due Reports---> Total Paid and due report---> Select Display Type as ""Show Report""---> Fill all the required details---> Click on Show Report"
How to Download Total Paid and Due Report?,"Please follow the below path to Download Total Paid and Due Report Path: Branch level--> Finance---> Due Reports---> Total Paid and due report---> Select Display Type as ""Download to CSV""---> Fill all the required details---> Click on Download to CSV"
How to download Total paid and Due report Fee Ledger?,Please follow the below path to download Total paid and Due report Fee Ledger Path: Branch level--> Finance---> Due Reports---> Total Paid and due report---> Select Total paid and Due report Fee Ledger----> Fill all the required details---> Click on Show Report---> Click on Excel Icon
How to  issue items to staff in inventory ?,"To issue items to staff in inventory, follow the steps given below: Step 1: Select the Inventory module and then select the Issue Items under the Item Details menu. (Inventory-->Item Details-->Issue Items) Step 2: Select the Staff option then select the Staff Department, Status(Active/Inactive), Staff Name then click on Get. Select the +Issue Item option. Step 3: Select the Item Type, Item Name, Available/Total Quantity, Purpose if Any, Issued Quantity then click on Add. Step 4: Give the Voucher No and select the Issued Date then click on Save. NOTE: The Items marked as Staff/General can be issued to Staff and the Items which are marked as Returnable can only be returned."
How to define or set  Auto Generated SKU code Prefix for Items?,"To define or set auto generated SKU Code prefix for Items, follow the steps given: Step 1: Select the Inventory module and then select the Create Items under the Item Details menu. (Inventory-->Item Details-->Create Items) Step 2: Select SKU Code Prefix Settings option. Click on +SKU Code Prefix option. Select the Category, Sub Category, Item Type and give the SKU Code Prefix then click on Save. NOTE: If SKU Code Prefix Settings are done, we need not to update the SKU Code of the Items manually, it will be generated automatically according to the code prefix given when we add or create item."
What is the use of Stock checking Settings?,"➽ Stock checking setting is used to verify available stock while issuing the item. ✨ If we make a Stock checking to set -Yes, we can not issue an item if stock is unavailable. ✨ If we make the Stock checking to set -No, we can also issue an item if stock is unavailable. PATH : Inventory 🡆Stores 🡆Create Store 🡆Stock Checking Settings."
How to map or assign items to vendor in inventory?,"To map or assign items to vendor in inventory, follow the steps given below: Step 1: Select the Inventory module and then select the Vendor Item Mapping under Vendors and Contracts menu. (Inventory-->Vendors and Contracts-->Vendor Item Mapping) Step 2: Select the Company Name and click on Assign Items to Vendors then select the respective Category, Sub Category and then select the Item Names accordingly and click on Assign Items."
How to transfer stock from one branch to another branch?,"To transfer or change stock from one branch to another branch, follow the steps given below: PATH 1 Step 1: Select the Inventory module and then select the Branch Stock Transfer under the Stock Management menu. (Inventory-->Stock Management-->Branch Stock Transfer) Step 2: Select the Branch Stock Transfer option then select Branch, Date Type, give the dates accordingly then click on Get. Step 3: Select the Outward option and then click on +Stock Transfer from Branch. Select Transfer to Branch option. Select the To Store and To Branch. Step 4: Select the Classification(Kitchen/General/Staff/Student/All) , Item Name, Quantity. To add multiple items, click on the +Add option given and add multiple items at a single go then click on Save. PATH - 2 Step 1: Select the Inventory module and then select the Branch Stock Details under the Item Details menu. (Inventory-->Item Details-->Branch Stock Details) Step 2: Select the Branch, Date Type, give the dates accordingly then click on Get. Step 3: Select the Outward option and then click on +Stock Transfer from Branch. Select Transfer to Branch option. Select the To Store and To Branch. Step 4: Select the Classification(Kitchen/General/Staff/Student/All) , Item Name, Quantity. To add multiple items, click on the +Add option given and add multiple items at a single go then click on Save."
How to view Total paid and Due report Fee Ledger?,Please follow the below path to view Total paid and Due report Fee Ledger Path: Branch level--> Finance---> Due Reports---> Total Paid and due report---> Select Total paid and Due report Fee Ledger----> Fill all the required details---> Click on Show Report
How to create Grading Scale for Assignments?,You can create Grading scale for assignments by following the path. Assignments ---> Assignments ---> Create Assignment Grading Scale ---> Click on +Add Grades ---> Enter the Range From and Range To ---> Enter the Grade Name ---> Click on Save.
How to make the Marks of an Assignment Visible or Non visible?,"You can set the marks as visible or invisible for assignments by following the path below. Assignments ---> Assignments ---> Assignments Marks or Grades visibility setting ---> Click on the Check box below Marks/ Grades against the Branch ---> Click on Save. To make the marks invisible, deselect the checkbox against the Branch."
How to give Assignments?,"You can Give Assignments to the students by following the path below. Assignments ---> Assignments ---> Give Assignments ---> Click on +Assignment ---> Select the Class, Section, Subject ---> Click on the Checkbox to Enable Student to Submit Online? ---> Select the Assignment Date & Max Marks ---> Click on the checkbox to select Can be added to Gradebook? ---> Type the Assignment in the box below ---> Click on Choose files to Upload Files for Assignment ---> Click on Save Assignment."
How to view Fee Due Details report?,"Please follow the below path to view Fee Due Details report Path: Branch level--> Finance---> Due Reports---> Due Fee Details---> Select Location, Branch, Classes, Fee Types, Fee Type Occurance, Select Type as Show Report---> Click on Show Report"
How to download Fee Due Details report?,"Please follow the below path to download Fee Due Details report Path: Branch level--> Finance---> Due Reports---> Due Fee Details---> Select Location, Branch, Classes, Fee Types, Fee Type Occurance, Select Type as Download to CSV---> Click on Download to CSV"
How to download Branch wise due Report?,"Please follow the below path to download Branch wise due Report Path: Branch level--> Finance---> Due Reports---> Branch wise due Report---> Select academic Year, branch, Fee Type, Student Status, Paid date on or before---> Click on Show report---> Click on Branch wise Due---> Click on EXCEL Icon"
How to view Branch wise due Report?,"Please follow the below path to view Branch wise due Report Path: Branch level--> Finance---> Due Reports---> Branch wise due Report---> Select academic Year, branch, Fee Type, Student Status, Paid date on or before---> Click on Show report---> Click on Branch wise Due"
How to view Installment wise due Report?,"Please follow the below path to view Installment wise due Report Path: Branch level--> Finance---> Due Reports---> Branch wise due Report---> Select academic Year, branch, Fee Type, Student Status, Paid date on or before---> Click on Show report---> Click on Installment wise Due"
How to download Installment wise due Report?,"Please follow the below path to download Installment wise due Report Path: Branch level--> Finance---> Due Reports---> Branch wise due Report---> Select academic Year, branch, Fee Type, Student Status, Paid date on or before---> Click on Show report---> Click on Installment wise Due---> Click on EXCEL Icon"
How to download Installment and Feetype wise Due Report?,"Please follow the below path to download Installment and Feetype wise Due Report Path: Branch level--> Finance---> Due Reports---> Branch wise due Report---> Select academic Year, branch, Fee Type, Student Status, Paid date on or before---> Click on Show report---> Click on Installment and Feetype wise Due---> Click on EXCEL Icon"
How to view Installment and Feetype wise Due Report?,"Please follow the below path to view Installment and Feetype wise Due Report Path: Branch level--> Finance---> Due Reports---> Branch wise due Report---> Select academic Year, branch, Fee Type, Student Status, Paid date on or before---> Click on Show report---> Click on Installment and Feetype wise Due"
How to view Fees Receivable/Outstanding Report?,"Please follow the below path to view Fees Receivable/Outstanding Report Path: Branch level--> Finance---> Due Reports---> Branch wise due Report---> Select academic Year, branch, Fee Type, Student Status, Paid date on or before---> Click on Show report---> Click on Fees Receivable/Outstanding"
How to download Fees Receivable/Outstanding Report?,"Please follow the below path to download Fees Receivable/Outstanding Report Path: Branch level--> Finance---> Due Reports---> Branch wise due Report---> Select academic Year, branch, Fee Type, Student Status, Paid date on or before---> Click on Show report---> Click on Fees Receivable/Outstanding---> Click on EXCEL Icon"
How to download Fee due report with scholarship?,"Please follow the below path to download Fee due report with scholarship Report Path: Branch level--> Finance---> Due Reports---> Fee due report with scholarship---> Select Branch, Class, Feetypes, Segment--> Click on Get---> Click on EXCEL Icon"
How to view Fee due report with scholarship?,"Please follow the below path to view Fee due report with scholarship Report Path: Branch level--> Finance---> Due Reports---> Fee due report with scholarship---> Select Branch, Class, Feetypes, Segment--> Click on Get"
How to View FeeReminder Templates?,Please follow the below path to View FeeReminder Templates Path: Finance---> Due Reports--> Fee Reminder Slip---> Click on View Templates
How to add  New FeeReminder Slip?,Please follow the below path to add New FeeReminder Slip Path: Branch level--> Finance---> Due Reports--> Fee Reminder Slip---> Click on +Create your custom fee reminder format---> Select Create New Format---> Click on Get---> Fill all the required details---> Click on Save
How to send FeeReminder Slip via Email?,"Please follow the below path to send FeeReminder Slip via Email Path: Branch level--> Finance---> Fee Reminder Slip---> Select Classes, Section, Fee reminder Type, Type as Installment(Term) wise/Month Wise/Due Date Wise and fill the all other required details---> Click on Continue---> Click on SendMail against Class Name and Student count Note : Dues will be considered till the selected due date."
How to send FeeReminder Slip via SMS?,"Please follow the below path to send FeeReminder Slip via SMS Path: Branch level--> Finance---> Fee Reminder Slip---> Select Classes, Section, Fee reminder Type, Type as Installment(Term) wise/Month Wise/Due Date Wise and fill the all other required details---> Click on Continue---> Click on SendSMS against Class Name and Student count Note : Dues will be considered till the selected due date."
How to download FeeReminder Slip?,"Please follow the below path to download FeeReminder Slip Path: Branch level--> Finance---> Fee Reminder Slip---> Select Classes, Section, Fee reminder Type, Type as Installment(Term) wise/Month Wise/Due Date Wise and fill the all other required details---> Click on Continue---> Click on Download against Class Name and Student count"
How to download Fee Outstanding  Dues report?,Please follow the below path to download Fee Outstanding Dues report Path: Branch level--> Finance---> Due Reports---> Fee Outstanding Report---> Select Student status---> Click on Show Report---> Click on EXCEL Icon
How to view Fee Outstanding Dues report?,Please follow the below path to view Fee Outstanding Dues report Path: Branch level--> Finance---> Due Reports---> Fee Outstanding Report---> Select Student status---> Click on Show Report
How to view Fee Outstanding Dues report?,Please follow the below path to view Fee Outstanding Dues report Path: Branch level--> Finance---> Due Reports---> Fee Outstanding Report---> Select Student status---> Click on Show Report
How to map the Subjects against the Classes?,"To map the Subjects against the Classes, follow the steps given below: Step 1: To map the Subjects against the Classes, go to the Gradebook on the modules palette, select the IB Gradebook module and then select the IB Subjects under the Subjects menu. (Gradebook-->IB Gradebook-->Subjects-->IB Subjects) Step 2: Select the respective Program(PYP/MYP/DP) and then select the Class against which you want to map the Subjects. Step 3: The Subject Groups which are added by default will appear. Against the respective Subject Group, map the Subjects by clicking on the +icon. Step 4: Fill in the details like Subject Name, Sequence Number, Subject Level, No.of Credits and Is Interdisciplinary or not and then click on the Save option."
How to get Assets Purchase Details?,"➽ To have a full detail of years assets purchase details, follow the below path. PATH : Inventory 🡆Asset Management 🡆Asset Purchase Details. ★ When reached to final path, select the financial year you wish to know and tap Get."
How to View Misc fee Due Details report?,"Please follow the below path to View Misc fee Due Details report Path: Finance---> Due Reports---> Misc Fee Due Details---> Select Class, Misc Fee Groups, Misc Fee Types---> Click on Show Report"
How to download Misc fee Due Details report?,"Please follow the below path to download Misc fee Due Details report Path: Finance---> Due Reports---> Misc Fee Due Details---> Select Class, Misc Fee Groups, Misc Fee Types---> Click on Show Report---> Click on EXCEL Icon"
How to Print Misc fee Due Details report?,"Please follow the below path to Print Misc fee Due Details report Path: Finance---> Due Reports---> Misc Fee Due Details---> Select Class, Misc Fee Groups, Misc Fee Types---> Click on Show Report---> Click on Print Icon"
How to view All years Fee due report?,"Please follow the below path to view All years Fee due report Path: Branch level--> Finance---> Due Reports---> All years Fee due report---> Select Parent Class, Feetypes, Student Status---> Click on Get"
How to get All years Fee due report?,"Please follow the below path to get All years Fee due report Path: Branch level--> Finance---> Due Reports---> All years Fee due report---> Select Parent Class, Feetypes, Student Status---> Click on Get---> Click on EXCEL Icon"
How to View Fee Due Count report?,"Please follow the below path to View Fee Due Count report Path: Finance---> Due Reports--> Fee due students count--> Select Academic Year, branch, Installments, Fee Types, Report Type---> click on Show Report"
How to get the  Fee Due Count report?,"Please follow the below path to get the Fee Due Count report Path: Finance---> Due Reports--> Fee due students count--> Select Academic Year, branch, Installments, Fee Types, Report Type---> click on Show Report---> Click on EXCEL Icon"
How to get Fee Dues Aging Analysis Consolidated report?,"Please follow the below path to get the Fee Dues Aging Analysis Consolidated report Path: Branch level--> Finance---> Due Reports--> Aging Due Report---> Select Fee Dues Aging Analysis Consolidated--> Select Academic Year, Class Types, Fee types, Student Status, Minimum Due Amount, No of Intervals, Due Date---> Click on Get---> Click on EXCEL Icon"
How to view Fee Dues Aging Analysis Consolidated report?,"Please follow the below path to view the Fee Dues Aging Analysis Consolidated report Path: Branch level--> Finance---> Due Reports--> Aging Due Report---> Select Fee Dues Aging Analysis Consolidated--> Select Academic Year, Class Types, Fee types, Student Status, Minimum Due Amount, No of Intervals, Due Date---> Click on Get"
How to print Fee Dues Aging Analysis Consolidated report?,"Please follow the below path to print the Fee Dues Aging Analysis Consolidated report Path: Branch level--> Finance---> Due Reports--> Aging Due Report---> Select Fee Dues Aging Analysis Consolidated--> Select Academic Year, Class Types, Fee types, Student Status, Minimum Due Amount, No of Intervals, Due Date---> Click on Get---> Click on Print Icon"
How to print Fee Dues Aging Analysis Detailed report?,"Please follow the below path to print the Fee Dues Aging Analysis Detailed report Path: Branch level--> Finance---> Due Reports--> Aging Due Report---> Select Fee Dues Aging Analysis Detailed--> Select Academic Year, Class, Fee types, Student Status, Due Date---> Click on Get---> Click on Print Icon"
How to download Fee Dues Aging Analysis Detailed report?,"Please follow the below path to download the Fee Dues Aging Analysis Detailed report Path: Branch level--> Finance---> Due Reports--> Aging Due Report---> Select Fee Dues Aging Analysis Detailed--> Select Academic Year, Class, Fee types, Student Status, Due Date---> Click on Get---> Click on EXCEL Icon"
How to view Fee Dues Aging Analysis Detailed report?,"Please follow the below path to view the Fee Dues Aging Analysis Detailed report Path: Branch level--> Finance---> Due Reports--> Aging Due Report---> Select Fee Dues Aging Analysis Detailed--> Select Academic Year, Class, Fee types, Student Status, Due Date---> Click on Get"
How to view Batch wise Fee Due Report?,"Please follow the below path to view Batch wise Fee Due Report Path: Branch level--> Finance---> Due Reports---> Batch wise Fee Due Report---> Select Batch, Course, Feetypes--> Click on Get Note : This report works for professional college"
How to download Batch wise Fee Due Report?,"Please follow the below path to download Batch wise Fee Due Report Path: Branch level--> Finance---> Due Reports---> Batch wise Fee Due Report---> Select Batch, Course, Feetypes--> Click on Get---> Click on EXCEL Icon Note : This report works for professional college"
How to download Month wise Dues Report?,"Please follow the below path to download Month wise Dues Report Path: Branch level--> Finance---> Due Reports---> Month wise Dues Report---> Select Academic Year, Branch, Class, Student Status, Feetype---> Click on Get---> Click on EXCEL"
How to view Month wise Dues Report?,"Please follow the below path to view Month wise Dues Report Path: Branch level--> Finance---> Due Reports---> Month wise Dues Report---> Select Academic Year, Branch, Class, Student Status, Feetype---> Click on Get"
How to check Current status of Previous month Outstanding,"Please follow the below path to check Current status of Previous month Outstanding Path: Finance---> Audit Reports---> Current status of Previous month OS---> Select Class, Fee Types, Fee Accounts, academic Month, Month wise, Status, Late Fees, Report Type, Type---> Click on Get report"
How to take print Current status of Previous month Outstanding report?,"Please follow the below path to take print Current status of Previous month Outstanding report Path: Finance---> Audit Reports---> Current status of Previous month OS---> Select Class, Fee Types, Fee Accounts, academic Month, Month wise, Status, Late Fees, Report Type, Type---> Click on Get report---> Click on Print Icon"
How to download  Current status of Previous month Outstanding report?,"Please follow the below path to download Current status of Previous month Outstanding report Path: Finance---> Audit Reports---> Current status of Previous month OS---> Select Class, Fee Types, Fee Accounts, academic Month, Month wise, Status, Late Fees, Report Type, Type---> Click on Get report---> Click on EXCEL Icon"
How to get  Current status of Previous month Outstanding report in CSV format?,"Please follow the below path to get Current status of Previous month Outstanding report in CSV format Path: Finance---> Audit Reports---> Current status of Previous month OS---> Select Class, Fee Types, Fee Accounts, academic Month, Month wise, Status, Late Fees, Report Type, Type---> Click on Get report---> Click on CSV format Icon"
How to view Class wise Student Fee OutStanding report?,"Please follow the below path to view Class wise Student Fee OutStanding Path: Finance---> Audit Reports---> OS as at a particular Month---> select Class, Fee Types, Academic Month, Status, Report Type---> Click on Get Report"
How to download Class wise Student Fee OutStanding report?,"Please follow the below path to download Class wise Student Fee OutStanding Path: Finance---> Audit Reports---> OS as at a particular Month---> select Class, Fee Types, Academic Month, Status, Report Type---> Click on Get Report---> Click on EXCEL Icon"
How to enter Stock Invoice Inward entry?,"➽ To enter stock invoice inward entry, follow the below path. PATH : Inventory 🡆Asset Management 🡆Stock Invoice Inward Details. After reaching the final path, click on +Stock Invoice Inward Entry."
How to check pending Stock Invoice Inward details?,"➽ To check all pending stock invoice inward details, please follow the below path. PATH : Inventory 🡆Asset Management 🡆Stock Invoice Inward Details."
How to know default asset tags in inventory?,"➽ To know, what all default asset tags are provided for inventory, follow the below path. PATH : Inventory 🡆Asset Management 🡆Asset Types. ✨ When hovered to asset types page, select the store and branch followed by clicking on Get, then you can find Default Asset Tags, click on and select your asset types."
How to manage asset tags?,"➽ To define your asset types by using Manage Asset Tags option as per your requirement, do follow the below given path. PATH : Inventory 🡆Asset Management 🡆Asset Types. ✨ After reaching to asset types page, opt store, branch and tap Get to hover to Manage Asset Tags. By selecting that tab, give your asset tag name and define your Depreciation Method."
How to change/edit Depreciation Method for asset types?,"➽ To change/edit or define Depreciation Method against asset types, follow the below given path. PATH : Inventory 🡆Asset Management 🡆Asset Types. ✨ In Asset Types page, by giving store and branch, you can fetch your predefined asset types and its fields. For every asset type, you will have edit option to change or modify with updated demographics."
How to check consolidated Item Wise Sales Report in inventory?,"➽ To get item wise sales report of consolidated type, follow the given path. PATH : Inventory 🡆Reports 🡆Item Wise Sales Report. ✨ In inventory reports, we can get item wise sales report of consolidated type, by opting from types followed by academic year, branch and dates in the page."
Where to get Detailed Item Wise Sales Report in inventory?,"➽ To know detailed item wise sales in inventory, do follow the below path. PATH : Inventory 🡆Reports 🡆Item Wise Sales Report. ✨ When reached to final path, select Detailed option in Type by filling remaining fields and Tap Get to get the list."
How to get inventory items issued to staff?,"➽ To let know, which staff issued inventory items in any branch, do follow the below path to get details. PATH : Inventory 🡆Reports 🡆Staff Inventory Issued Items. ✨ After reaching to final path, by filling the fields in the page, you will get complete details of when and whom(staff) issued inventory items."
Where can we get full branch stock register in inventory?,"➽ To get complete details of branch stock register, follow the below given path. PATH : Inventory 🡆Reports 🡆Branch Stock Register."
How to know Store Stock Register Report?,"➽ To know complete store stock register report, do follow the below given path. PATH : Inventory 🡆Reports 🡆Store Stock Register. ✨ If Store is mapping to single Branch, then Branch Stock Register report is same as Store Stock Report."
Where to get complete list of fee paid student stock issued report?,"➽ To get list of student stock issued report, follow the below given path. PATH : Inventory 🡆Reports 🡆Student Stock Issued Report."
Where to get financial year's Store Purchase Order details?,"➽ To get academic year's Store Purchase Order details, follow the below given path. PATH : Inventory 🡆Reports 🡆Purchase Order Details. ★ After reaching final page, select financial year and store to get details."
How to get Group Wise Sales report?,"➽ To get group wise sales report, do follow the below given path. PATH : Inventory 🡆Reports 🡆Group Wise Sales report. ✨ After reaching final path, select Misc fee group and get your report."
How to create a Parent visit pass?,"➽ You can create the parent visit entry from Visitor Management. Open today's visitors to add Parent visit by clicking "" Parent"" and search the student. PATH : Branch Level 🡆Click on Visitor Management from the branch admin login."
